Item No.,Class Code,Dept #,Description,Whs No.,quantity,Sold Qty,Adj. Qty,Receive Qty,End In Stock,Average Cost,Current Cost,Ext Amount
M2015,MILTON,LIVING,HOLLY- 47 in. Length Faux Wood TV Stand,HOU,,,,,2,79,79,158
M2016,MILTON,LIVING,HOLLY- 47 in. Length Faux Wood TV Stand,HOU,,,,,2,79,79,158
M2017,MILTON,LIVING,HOLLY- 47 in. Length Faux Wood TV Stand,HOU,,,,,2,79,79,158
M2018,MILTON,LIVING,HOLLY- 47 in. Length Faux Wood TV Stand,HOU,,,,,2,79,79,158
M2019,MILTON,LIVING,HOLLY- 71 in. Length Faux Wood TV Stand,HOU,,,,,2,117.3,117.3,234.67
M2020,MILTON,LIVING,HOLLY- 71 in. Length Faux Wood TV Stand,HOU,,,,,2,94,94,188
M2021,MILTON,LIVING,HOLLY- 71 in. Length Faux Wood TV Stand,HOU,,,,,1,117.3,117.3,117.33
M2022,MILTON,LIVING,HOLLY- 71 in. Length Faux Wood TV Stand,HOU,,,,,2,94,94,188
M7564-FULL,MILTON,BEDROOM,PU Vegan Leather Bed Frame with 4 Slats(Box Spring Required),HOU,,,,,4,58,58,232
M7565-FULL,MILTON,BEDROOM,PU Vegan Leather Bed Frame with 4 Slats(Box Spring Required),HOU,,,,,3,58,58,174
M7565-TWIN,MILTON,BEDROOM,PU Vegan Leather Bed Frame with 4 Slats(Box Spring Required),HOU,2,,,,20,0,0,
M7706-DB,MILTON,LIVING,Polyester Fabric Upholstered Multi-Functional Single Convert,HOU,,,,,3,0,0,
M7706-GR,MILTON,LIVING,VIVI- Grey Linen Fabric Multi-Functional Lounge Chair,HOU,,,,,2,102,102,204
M8079-RECL,MILTON,LIVING,TAN Fabric Manual Reclining Chair,HOU,,,,,2,114,114,228
M6601,MILTON,ACCESSOR,Solid Color Manufactured Wood X-Side Panels Coffee Table wit,HOU,,,,,2,45,45,90
M7715,MILTON,DINING,GRAY Counter Height Chair for M7815,HOU,2,,,,24,27,27,648
M7716,MILTON,DINING,BLACK with BROWN Top Counter Height Chair for M7816,HOU,,,,,4,27,27,108
